episodes,episode_reward,mean-path-return_agent_1,max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_1,total-samples,last-path-return_agent_0,max-path-return_agent_1
98,98,-2.0,6.0,2.0,-2.0,98,2.0,1.0
99,99,-2.0,6.0,2.0,-2.0,99,2.0,1.0
100,100,-2.0,6.0,2.0,-2.0,100,2.0,1.0
101,101,-2.0,6.0,2.0,-2.0,101,2.0,1.0
102,102,1.0,6.0,-1.0,1.0,102,-1.0,1.0
103,103,-6.0,6.0,6.0,-6.0,103,6.0,1.0
104,104,1.0,6.0,-1.0,1.0,104,-1.0,1.0
105,105,-5.0,6.0,5.0,-5.0,105,5.0,1.0
106,106,-6.0,6.0,6.0,-6.0,106,6.0,1.0
107,107,-5.0,6.0,5.0,-5.0,107,5.0,1.0
108,108,-5.0,6.0,5.0,-5.0,108,5.0,1.0
109,109,1.0,6.0,-1.0,1.0,109,-1.0,1.0
110,110,-5.0,6.0,5.0,-5.0,110,5.0,1.0
111,111,1.0,6.0,-1.0,1.0,111,-1.0,1.0
112,112,-2.0,6.0,2.0,-2.0,112,2.0,1.0
113,113,-6.0,6.0,6.0,-6.0,113,6.0,1.0
114,114,-5.0,6.0,5.0,-5.0,114,5.0,1.0
115,115,1.0,6.0,-1.0,1.0,115,-1.0,1.0
116,116,-2.0,6.0,2.0,-2.0,116,2.0,1.0
117,117,1.0,6.0,-1.0,1.0,117,-1.0,1.0
118,118,-2.0,6.0,2.0,-2.0,118,2.0,1.0
119,119,-6.0,6.0,6.0,-6.0,119,6.0,1.0
120,120,-2.0,6.0,2.0,-2.0,120,2.0,1.0
121,121,1.0,6.0,-1.0,1.0,121,-1.0,1.0
122,122,-5.0,6.0,5.0,-5.0,122,5.0,1.0
123,123,-2.0,6.0,2.0,-2.0,123,2.0,1.0
124,124,-6.0,6.0,6.0,-6.0,124,6.0,1.0
125,125,1.0,6.0,-1.0,1.0,125,-1.0,1.0
126,126,-5.0,6.0,5.0,-5.0,126,5.0,1.0
127,127,-2.0,6.0,2.0,-2.0,127,2.0,1.0
128,128,-5.0,6.0,5.0,-5.0,128,5.0,1.0
129,129,-5.0,6.0,5.0,-5.0,129,5.0,1.0
130,130,-5.0,6.0,5.0,-5.0,130,5.0,1.0
131,131,1.0,6.0,-1.0,1.0,131,-1.0,1.0
132,132,-5.0,6.0,5.0,-5.0,132,5.0,1.0
133,133,1.0,6.0,-1.0,1.0,133,-1.0,1.0
134,134,-5.0,6.0,5.0,-5.0,134,5.0,1.0
135,135,-2.0,6.0,2.0,-2.0,135,2.0,1.0
136,136,-2.0,6.0,2.0,-2.0,136,2.0,1.0
137,137,1.0,6.0,-1.0,1.0,137,-1.0,1.0
138,138,1.0,6.0,-1.0,1.0,138,-1.0,1.0
139,139,-2.0,6.0,2.0,-2.0,139,2.0,1.0
140,140,-5.0,6.0,5.0,-5.0,140,5.0,1.0
141,141,-6.0,6.0,6.0,-6.0,141,6.0,1.0
142,142,-2.0,6.0,2.0,-2.0,142,2.0,1.0
143,143,-6.0,6.0,6.0,-6.0,143,6.0,1.0
144,144,-2.0,6.0,2.0,-2.0,144,2.0,1.0
145,145,1.0,6.0,-1.0,1.0,145,-1.0,1.0
146,146,-6.0,6.0,6.0,-6.0,146,6.0,1.0
147,147,1.0,6.0,-1.0,1.0,147,-1.0,1.0
148,148,-6.0,6.0,6.0,-6.0,148,6.0,1.0
149,149,-5.0,6.0,5.0,-5.0,149,5.0,1.0
150,150,-5.0,6.0,5.0,-5.0,150,5.0,1.0
151,151,-2.0,6.0,2.0,-2.0,151,2.0,1.0
152,152,-6.0,6.0,6.0,-6.0,152,6.0,1.0
153,153,-5.0,6.0,5.0,-5.0,153,5.0,1.0
154,154,1.0,6.0,-1.0,1.0,154,-1.0,1.0
155,155,-2.0,6.0,2.0,-2.0,155,2.0,1.0
156,156,1.0,6.0,-1.0,1.0,156,-1.0,1.0
157,157,-5.0,6.0,5.0,-5.0,157,5.0,1.0
158,158,-6.0,6.0,6.0,-6.0,158,6.0,1.0
159,159,1.0,6.0,-1.0,1.0,159,-1.0,1.0
160,160,1.0,6.0,-1.0,1.0,160,-1.0,1.0
161,161,-2.0,6.0,2.0,-2.0,161,2.0,1.0
162,162,-2.0,6.0,2.0,-2.0,162,2.0,1.0
163,163,-5.0,6.0,5.0,-5.0,163,5.0,1.0
164,164,-5.0,6.0,5.0,-5.0,164,5.0,1.0
165,165,-2.0,6.0,2.0,-2.0,165,2.0,1.0
166,166,-6.0,6.0,6.0,-6.0,166,6.0,1.0
167,167,-2.0,6.0,2.0,-2.0,167,2.0,1.0
168,168,-6.0,6.0,6.0,-6.0,168,6.0,1.0
169,169,1.0,6.0,-1.0,1.0,169,-1.0,1.0
170,170,-5.0,6.0,5.0,-5.0,170,5.0,1.0
171,171,-6.0,6.0,6.0,-6.0,171,6.0,1.0
172,172,-6.0,6.0,6.0,-6.0,172,6.0,1.0
173,173,1.0,6.0,-1.0,1.0,173,-1.0,1.0
174,174,-5.0,6.0,5.0,-5.0,174,5.0,1.0
175,175,1.0,6.0,-1.0,1.0,175,-1.0,1.0
176,176,-6.0,6.0,6.0,-6.0,176,6.0,1.0
177,177,1.0,6.0,-1.0,1.0,177,-1.0,1.0
178,178,1.0,6.0,-1.0,1.0,178,-1.0,1.0
179,179,-6.0,6.0,6.0,-6.0,179,6.0,1.0
180,180,-5.0,6.0,5.0,-5.0,180,5.0,1.0
181,181,-6.0,6.0,6.0,-6.0,181,6.0,1.0
182,182,-2.0,6.0,2.0,-2.0,182,2.0,1.0
183,183,1.0,6.0,-1.0,1.0,183,-1.0,1.0
184,184,-6.0,6.0,6.0,-6.0,184,6.0,1.0
185,185,-5.0,6.0,5.0,-5.0,185,5.0,1.0
186,186,-2.0,6.0,2.0,-2.0,186,2.0,1.0
187,187,-6.0,6.0,6.0,-6.0,187,6.0,1.0
188,188,-5.0,6.0,5.0,-5.0,188,5.0,1.0
189,189,1.0,6.0,-1.0,1.0,189,-1.0,1.0
190,190,-2.0,6.0,2.0,-2.0,190,2.0,1.0
191,191,1.0,6.0,-1.0,1.0,191,-1.0,1.0
192,192,1.0,6.0,-1.0,1.0,192,-1.0,1.0
193,193,-2.0,6.0,2.0,-2.0,193,2.0,1.0
194,194,1.0,6.0,-1.0,1.0,194,-1.0,1.0
195,195,-2.0,6.0,2.0,-2.0,195,2.0,1.0
196,196,-5.0,6.0,5.0,-5.0,196,5.0,1.0
197,197,1.0,6.0,-1.0,1.0,197,-1.0,1.0
198,198,-6.0,6.0,6.0,-6.0,198,6.0,1.0
199,199,-2.0,6.0,2.0,-2.0,199,2.0,1.0
200,200,1.0,6.0,-1.0,1.0,200,-1.0,1.0
201,201,-6.0,6.0,6.0,-6.0,201,6.0,1.0
202,202,1.0,6.0,-1.0,1.0,202,-1.0,1.0
